UPC,CALENDAR_DATE,UNITS_SUM,D_MEAN,PR_MEAN,DISCOUNT_MEAN
00-02-77817-11150,2011-04-04T00:00:00.000Z,210,0.0,0.0,0.0
08-01-43571-00015,2011-04-11T00:00:00.000Z,149,0.3333333333333333,0.0,0.0
00-02-28400-06405,2011-04-11T00:00:00.000Z,440,0.3076923076923077,0.0,0.0
00-02-28400-08292,2011-04-11T00:00:00.000Z,290,0.23076923076923078,0.7692307692307693,0.1423076923076923
00-02-28400-06404,2011-04-11T00:00:00.000Z,678,0.7692307692307693,0.0,0.0
00-01-72600-00562,2011-04-11T00:00:00.000Z,617,0.5833333333333334,0.9166666666666666,0.27666666666666667
00-02-77817-11150,2011-04-11T00:00:00.000Z,182,0.0,0.0,0.0
00-02-28400-06406,2011-04-11T00:00:00.000Z,316,0.16666666666666666,0.0,0.0
00-02-28400-01109,2011-04-11T00:00:00.000Z,572,0.07692307692307693,0.0,0.0
00-01-20685-00029,2011-04-11T00:00:00.000Z,141,0.16666666666666666,0.0,0.0
00-03-28400-08290,2011-04-11T00:00:00.000Z,176,0.2,0.9,0.137
00-01-20685-00027,2011-04-11T00:00:00.000Z,124,0.1,0.0,0.0
00-01-28400-08295,2011-04-11T00:00:00.000Z,168,0.0,0.0,0.0
00-02-28400-06408,2011-04-11T00:00:00.000Z,1178,0.46153846153846156,0.0,7.692307692307692E-4
00-03-41780-00118,2011-04-11T00:00:00.000Z,164,0.75,0.25,0.030833333333333334
00-06-41780-00011,2011-04-11T00:00:00.000Z,258,0.5384615384615384,0.15384615384615385,0.030000000000000002
00-01-77975-08003,2011-04-11T00:00:00.000Z,165,0.4,0.1,0.012
08-01-29515-30220,2011-04-11T00:00:00.000Z,188,0.0,0.0,0.0
00-01-77975-08003,2011-04-18T00:00:00.000Z,164,0.4,0.1,0.028000000000000004
00-03-41780-00118,2011-04-18T00:00:00.000Z,361,0.46153846153846156,1.0,0.33461538461538465
00-02-28400-01109,2011-04-18T00:00:00.000Z,432,0.15384615384615385,0.0,0.0
00-01-20685-00027,2011-04-18T00:00:00.000Z,134,0.08333333333333333,0.0,0.01
08-01-29515-30220,2011-04-18T00:00:00.000Z,216,0.0,0.0,0.0
00-02-77817-11150,2011-04-18T00:00:00.000Z,138,0.0,0.0,0.0
00-01-72600-00562,2011-04-18T00:00:00.000Z,806,0.75,1.0,0.4141666666666666
08-01-43571-00015,2011-04-18T00:00:00.000Z,167,0.3333333333333333,0.0,0.0
00-02-28400-08292,2011-04-18T00:00:00.000Z,772,0.3076923076923077,1.0,0.4169230769230769
00-01-20685-00029,2011-04-18T00:00:00.000Z,196,0.16666666666666666,0.08333333333333333,0.0075
00-06-41780-00011,2011-04-18T00:00:00.000Z,781,0.6923076923076923,1.0,0.33
00-01-28400-08295,2011-04-18T00:00:00.000Z,182,0.0,0.0,0.0
00-03-28400-08290,2011-04-18T00:00:00.000Z,760,0.3333333333333333,1.0,0.4183333333333333
00-02-28400-06406,2011-04-18T00:00:00.000Z,1012,0.3333333333333333,1.0,0.48666666666666664
00-02-28400-06404,2011-04-18T00:00:00.000Z,1926,1.1538461538461537,1.0,0.4807692307692308
00-02-28400-06405,2011-04-18T00:00:00.000Z,1516,0.38461538461538464,1.0,0.48307692307692307
00-02-28400-06408,2011-04-18T00:00:00.000Z,5106,0.9230769230769231,1.0,0.4815384615384615
00-01-77975-08003,2011-04-25T00:00:00.000Z,215,0.4,1.0,0.16
00-01-20685-00029,2011-04-25T00:00:00.000Z,237,0.3333333333333333,1.0,0.14
00-01-28400-08295,2011-04-25T00:00:00.000Z,110,0.0,0.0,0.0
00-01-72600-00562,2011-04-25T00:00:00.000Z,227,0.5833333333333334,0.08333333333333333,0.04
00-02-28400-08292,2011-04-25T00:00:00.000Z,306,0.6153846153846154,1.0,0.2784615384615385
00-01-20685-00027,2011-04-25T00:00:00.000Z,152,0.16666666666666666,0.9166666666666666,0.13
00-02-28400-06406,2011-04-25T00:00:00.000Z,428,0.46153846153846156,1.0,0.2353846153846154
00-02-28400-06405,2011-04-25T00:00:00.000Z,472,1.0,1.0,0.23692307692307693
00-02-28400-06408,2011-04-25T00:00:00.000Z,1596,0.8461538461538461,1.0,0.23692307692307693
00-03-41780-00118,2011-04-25T00:00:00.000Z,88,0.5,0.0,0.0075
08-01-29515-30220,2011-04-25T00:00:00.000Z,144,0.0,0.0,0.0
00-02-77817-11150,2011-04-25T00:00:00.000Z,155,0.0,0.0,0.0
00-06-41780-00011,2011-04-25T00:00:00.000Z,136,0.75,0.0,0.0
00-02-28400-06404,2011-04-25T00:00:00.000Z,720,1.0769230769230769,1.0,0.2353846153846154
00-03-28400-08290,2011-04-25T00:00:00.000Z,234,0.4,1.0,0.27
00-02-28400-01109,2011-04-25T00:00:00.000Z,540,0.15384615384615385,0.0,0.0
